[22Sep2026 20:38:54.574] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--username, ladno0441, --version, 1.21.1, --gameDir, D:/MINECRAFT/instances/aeronautica 6.0/minecraft, --assetsDir, C:/Users/porhohub/AppData/Roaming/PrismLauncher/assets, --assetIndex, 17, --uuid, 0159434edc3037f589537b7feba48ada, --accessToken, ❄❄❄❄❄❄❄❄, --userType, offline, --versionType, release, --fml.neoForgeVersion, 21.1.251, --fml.fmlVersion, 4.0.44, --fml.mcVersion, 1.21.1, --fml.neoFormVersion, 20240808.144430, --launchTarget, forgeclient, --width, 854, --height, 480]
[22Sep2026 20:38:54.578] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: JVM identified as Microsoft OpenJDK 64-Bit Server VM 21.0.7+6-LTS
[22Sep2026 20:38:54.580] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 11.0.5+main.901c6ea8 starting: java version 21.0.7 by Microsoft; OS Windows 10 arch amd64 version 10.0
[22Sep2026 20:38:55.947] [main/INFO] [Sodium-GraphicsAdapterProbe/]: Searching for graphics cards...
[22Sep2026 20:38:56.005] [main/INFO] [Sodium-GraphicsAdapterProbe/]: Found graphics adapter: AdapterInfo{vendor=AMD, description='Radeon (TM) RX 480 Graphics', adapterType=0x0000030B, openglIcdFilePath='C:\Windows\System32\DriverStore\FileRepository\u0197843.inf_amd64_82ec9e2b79afe28f\B025592\atig6pxx.dll', openglIcdVersion=31.0.21924.61}
[22Sep2026 20:38:56.009] [main/WARN] [Sodium-Workarounds/]: Sodium has applied one or more workarounds to prevent crashes or other issues on your system: [AMD_GAME_OPTIMIZATION_BROKEN]
[22Sep2026 20:38:56.009] [main/WARN] [Sodium-Workarounds/]: This is not necessarily an issue, but it may result in certain features or optimizations being disabled. You can sometimes fix these issues by upgrading your graphics driver.
[22Sep2026 20:38:56.009] [main/INFO] [Sodium-AmdWorkarounds/]: Modifying process environment to apply workarounds for the AMD graphics driver...
[22Sep2026 20:38:56.011] [main/INFO] [net.neoforged.fml.loading.ImmediateWindowHandler/]: Loading ImmediateWindowProvider fmlearlywindow
[22Sep2026 20:38:56.045] [main/INFO] [EARLYDISPLAY/]: Trying GL version 4.6
[22Sep2026 20:38:57.444] [main/INFO] [EARLYDISPLAY/]: Requested GL version 4.6 got version 4.6
[22Sep2026 20:38:57.517] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=union:/C:/Users/porhohub/AppData/Roaming/PrismLauncher/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar%23175!/ Service=ModLauncher Env=CLIENT
[22Sep2026 20:38:57.670] [pool-2-thread-1/INFO] [EARLYDISPLAY/]: GL info: Radeon (TM) RX 480 Graphics GL version 4.6.0 Core Profile Context 26.1.1.251211, ATI Technologies Inc.
[22Sep2026 20:38:57.715] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "client-1.21.1-20240808.144430-srg.jar" [locator: production client provider +net.neoforged:neoforge:21.1.251:client]
[22Sep2026 20:38:57.749] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "neoforge-21.1.251-universal.jar" [locator: PathBasedLocator[name=neoforge, paths=[C:\Users\porhohub\AppData\Roaming\PrismLauncher\libraries\net\neoforged\neoforge\21.1.251\neoforge-21.1.251-universal.jar]], reader: mod manifest]
[22Sep2026 20:38:57.771] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "net.caffeinemc.sodium-neoforge-0.8.13-beta.2+mc1.21.1-mod.jar" [locator: net.caffeinemc.mods.sodium.service.SodiumServiceModLocator@4d74c3ba, reader: mod manifest]
[22Sep2026 20:38:57.781] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "fabric-rendering-data-attachment-v1-0.3.48+73761d2e19.jar" [locator: net.caffeinemc.mods.sodium.service.SodiumServiceModLocator@4d74c3ba, reader: mod manifest]
[22Sep2026 20:38:57.784] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "fabric-renderer-api-v1-3.4.1+9125b6dc19.jar" [locator: net.caffeinemc.mods.sodium.service.SodiumServiceModLocator@4d74c3ba, reader: mod manifest]
[22Sep2026 20:38:57.786] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "fabric-block-view-api-v2-1.0.10+9afaaf8c19.jar" [locator: net.caffeinemc.mods.sodium.service.SodiumServiceModLocator@4d74c3ba, reader: mod manifest]
[22Sep2026 20:38:57.789] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "fabric-api-base-0.4.42+d1308ded19.jar" [locator: net.caffeinemc.mods.sodium.service.SodiumServiceModLocator@4d74c3ba, reader: mod manifest]
[22Sep2026 20:38:57.794] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "aero_cam_sync-1.3.6.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.797] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "aerocopycats-1.1.1.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.800] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "aeroencasedpipe-1.0.7.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.803] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "aeroworks-1.4.2.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.807] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "alltheleaks-1.1.11+1.21.1-neoforge.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
